date,secid,days,volatility,ticker
2014-03-06,101594.0,152.0,0.228346,AAPL
2014-03-06,101594.0,182.0,0.252162,AAPL
2014-03-06,101594.0,273.0,0.246207,AAPL
2014-03-06,101594.0,365.0,0.250786,AAPL
2014-03-06,101594.0,547.0,0.29603,AAPL
2014-03-06,101594.0,730.0,0.293041,AAPL
2014-03-06,101594.0,1825.0,0.281553,AAPL
2014-03-07,101594.0,10.0,0.135948,AAPL
2014-03-07,101594.0,14.0,0.136346,AAPL
2014-03-07,101594.0,30.0,0.162111,AAPL
2014-03-07,101594.0,60.0,0.271403,AAPL
2014-03-07,101594.0,91.0,0.251513,AAPL
2014-03-07,101594.0,122.0,0.238739,AAPL
2014-03-07,101594.0,152.0,0.227259,AAPL
2014-03-07,101594.0,182.0,0.252054,AAPL
2014-03-07,101594.0,273.0,0.246098,AAPL
2014-03-07,101594.0,365.0,0.250568,AAPL
2014-03-07,101594.0,547.0,0.295927,AAPL
2014-03-07,101594.0,730.0,0.293041,AAPL
2014-03-07,101594.0,1825.0,0.281443,AAPL
2014-03-10,101594.0,10.0,0.051789,AAPL
2014-03-10,101594.0,14.0,0.13504,AAPL
2014-03-10,101594.0,30.0,0.159332,AAPL
2014-03-10,101594.0,60.0,0.275385,AAPL
2014-03-10,101594.0,91.0,0.250282,AAPL
2014-03-10,101594.0,122.0,0.238293,AAPL
2014-03-10,101594.0,152.0,0.22722,AAPL
2014-03-10,101594.0,182.0,0.251109,AAPL
2014-03-10,101594.0,273.0,0.245935,AAPL
2014-03-10,101594.0,365.0,0.250562,AAPL
2014-03-10,101594.0,547.0,0.295878,AAPL
2014-03-10,101594.0,730.0,0.292926,AAPL
2014-03-10,101594.0,1825.0,0.279316,AAPL
2014-03-11,101594.0,10.0,0.068298,AAPL
2014-03-11,101594.0,14.0,0.126276,AAPL
2014-03-11,101594.0,30.0,0.158142,AAPL
2014-03-11,101594.0,60.0,0.275926,AAPL
2014-03-11,101594.0,91.0,0.251212,AAPL
2014-03-11,101594.0,122.0,0.237387,AAPL
2014-03-11,101594.0,152.0,0.227482,AAPL
2014-03-11,101594.0,182.0,0.249173,AAPL
2014-03-11,101594.0,273.0,0.246089,AAPL
2014-03-11,101594.0,365.0,0.250366,AAPL
2014-03-11,101594.0,547.0,0.295236,AAPL
2014-03-11,101594.0,730.0,0.292713,AAPL
2014-03-11,101594.0,1825.0,0.278837,AAPL
2014-03-12,101594.0,10.0,0.063931,AAPL
2014-03-12,101594.0,14.0,0.109088,AAPL
2014-03-12,101594.0,30.0,0.146647,AAPL
2014-03-12,101594.0,60.0,0.27246,AAPL
2014-03-12,101594.0,91.0,0.250857,AAPL
2014-03-12,101594.0,122.0,0.235937,AAPL
2014-03-12,101594.0,152.0,0.227318,AAPL
2014-03-12,101594.0,182.0,0.235577,AAPL
2014-03-12,101594.0,273.0,0.245578,AAPL
2014-03-12,101594.0,365.0,0.249327,AAPL
2014-03-12,101594.0,547.0,0.29523,AAPL
2014-03-12,101594.0,730.0,0.292581,AAPL
2014-03-12,101594.0,1825.0,0.278825,AAPL
2014-03-13,101594.0,10.0,0.099286,AAPL
2014-03-13,101594.0,14.0,0.090121,AAPL
2014-03-13,101594.0,30.0,0.14485,AAPL
2014-03-13,101594.0,60.0,0.270582,AAPL
2014-03-13,101594.0,91.0,0.251765,AAPL
2014-03-13,101594.0,122.0,0.236735,AAPL
2014-03-13,101594.0,152.0,0.226996,AAPL
2014-03-13,101594.0,182.0,0.235838,AAPL
2014-03-13,101594.0,273.0,0.245843,AAPL
2014-03-13,101594.0,365.0,0.249621,AAPL
2014-03-13,101594.0,547.0,0.295126,AAPL
2014-03-13,101594.0,730.0,0.291976,AAPL
2014-03-13,101594.0,1825.0,0.278771,AAPL
2014-03-14,101594.0,10.0,0.111073,AAPL
2014-03-14,101594.0,14.0,0.107482,AAPL
2014-03-14,101594.0,30.0,0.149597,AAPL
2014-03-14,101594.0,60.0,0.27166,AAPL
2014-03-14,101594.0,91.0,0.251823,AAPL
2014-03-14,101594.0,122.0,0.237583,AAPL
2014-03-14,101594.0,152.0,0.226681,AAPL
2014-03-14,101594.0,182.0,0.23515,AAPL
2014-03-14,101594.0,273.0,0.245667,AAPL
2014-03-14,101594.0,365.0,0.249767,AAPL
2014-03-14,101594.0,547.0,0.294797,AAPL
2014-03-14,101594.0,730.0,0.290889,AAPL
2014-03-14,101594.0,1825.0,0.278718,AAPL
